movieId_,title,genres,movie_description
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Hello World!
183,Mute Witness (1994),Comedy|Horror|Thriller,Hello World!
184,Nadja (1994),Drama,Hello World!
185,"Net, The (1995)",Action|Crime|Thriller,Hello World!
186,Nine Months (1995),Comedy|Romance,Hello World!
187,Party Girl (1995),Comedy,Hello World!
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,Hello World!
189,Reckless (1995),Comedy|Fantasy,Hello World!
190,Safe (1995),Thriller,Hello World!
191,"Scarlet Letter, The (1995)",Drama|Romance,Hello World!
193,Showgirls (1995),Drama,Hello World!
194,Smoke (1995),Comedy|Drama,Hello World!
195,Something to Talk About (1995),Comedy|Drama|Romance,Hello World!
196,Species (1995),Horror|Sci-Fi,Hello World!
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Hello World!
201,Three Wishes (1995),Drama|Fantasy,Hello World!
202,Total Eclipse (1995),Drama|Romance,Hello World!
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,Hello World!
204,Under Siege 2: Dark Territory (1995),Action,Hello World!
205,Unstrung Heroes (1995),Comedy|Drama,Hello World!
206,Unzipped (1995),Documentary,Hello World!
207,"Walk in the Clouds, A (1995)",Drama|Romance,Hello World!
208,Waterworld (1995),Action|Adventure|Sci-Fi,Hello World!
209,White Man's Burden (1995),Drama,Hello World!
210,Wild Bill (1995),Western,Hello World!
211,"Browning Version, The (1994)",Drama,Hello World!
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,Hello World!
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Hello World!
214,Before the Rain (Pred dozhdot) (1994),Drama|War,Hello World!
215,Before Sunrise (1995),Drama|Romance,Hello World!
216,Billy Madison (1995),Comedy,Hello World!
217,"Babysitter, The (1995)",Drama|Thriller,Hello World!
218,Boys on the Side (1995),Comedy|Drama,Hello World!
219,"Cure, The (1995)",Drama,Hello World!
220,Castle Freak (1995),Horror,Hello World!
222,Circle of Friends (1995),Drama|Romance,Hello World!
223,Clerks (1994),Comedy,Hello World!
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Hello World!
225,Disclosure (1994),Drama|Thriller,Hello World!
227,Drop Zone (1994),Action|Thriller,Hello World!
228,Destiny Turns on the Radio (1995),Comedy,Hello World!
229,Death and the Maiden (1994),Drama|Thriller,Hello World!
230,Dolores Claiborne (1995),Drama|Thriller,Hello World!
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,Hello World!
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,Hello World!
233,Exotica (1994),Drama,Hello World!
234,Exit to Eden (1994),Comedy,Hello World!
235,Ed Wood (1994),Comedy|Drama,Hello World!
236,French Kiss (1995),Action|Comedy|Romance,Hello World!
237,Forget Paris (1995),Comedy|Romance,Hello World!
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,Hello World!
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,Hello World!
240,Hideaway (1995),Thriller,Hello World!
241,Fluke (1995),Children|Drama,Hello World!
242,Farinelli: il castrato (1994),Drama|Musical,Hello World!
243,Gordy (1995),Children|Comedy|Fantasy,Hello World!
246,Hoop Dreams (1994),Documentary,Hello World!
247,Heavenly Creatures (1994),Crime|Drama,Hello World!
248,Houseguest (1994),Comedy,Hello World!
249,Immortal Beloved (1994),Drama|Romance,Hello World!
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,Hello World!
251,"Hunted, The (1995)",Action,Hello World!
252,I.Q. (1994),Comedy|Romance,Hello World!
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,Hello World!
254,Jefferson in Paris (1995),Drama,Hello World!
255,"Jerky Boys, The (1995)",Comedy,Hello World!
256,Junior (1994),Comedy|Sci-Fi,Hello World!
257,Just Cause (1995),Mystery|Thriller,Hello World!
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,Hello World!
259,Kiss of Death (1995),Crime|Drama|Thriller,Hello World!
261,Little Women (1994),Drama,Hello World!
262,"Little Princess, A (1995)",Children|Drama,Hello World!
263,Ladybird Ladybird (1994),Drama,Hello World!
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,Hello World!
266,Legends of the Fall (1994),Drama|Romance|War|Western,Hello World!
267,Major Payne (1995),Comedy,Hello World!
269,My Crazy Life (Mi vida loca) (1993),Drama,Hello World!
270,Love Affair (1994),Drama|Romance,Hello World!
271,Losing Isaiah (1995),Drama,Hello World!
272,"Madness of King George, The (1994)",Comedy|Drama,Hello World!
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,Hello World!
274,Man of the House (1995),Comedy,Hello World!
275,Mixed Nuts (1994),Comedy,Hello World!
276,Milk Money (1994),Comedy|Romance,Hello World!
277,Miracle on 34th Street (1994),Drama,Hello World!
278,Miami Rhapsody (1995),Comedy,Hello World!
279,My Family (1995),Drama,Hello World!
280,Murder in the First (1995),Drama|Thriller,Hello World!
281,Nobody's Fool (1994),Comedy|Drama|Romance,Hello World!
282,Nell (1994),Drama,Hello World!
283,New Jersey Drive (1995),Crime|Drama,Hello World!
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,Hello World!
285,Beyond Bedlam (1993),Drama|Horror,Hello World!
287,Nina Takes a Lover (1994),Comedy|Romance,Hello World!
288,Natural Born Killers (1994),Action|Crime|Thriller,Hello World!
289,Only You (1994),Comedy|Romance,Hello World!
290,Once Were Warriors (1994),Crime|Drama,Hello World!
291,Poison Ivy II (1996),Drama|Thriller,Hello World!
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,Hello World!
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,Hello World!
294,"Perez Family, The (1995)",Comedy|Romance,Hello World!
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,Hello World!
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,Hello World!
298,Pushing Hands (Tui shou) (1992),Drama,Hello World!
299,Priest (1994),Drama,Hello World!
300,Quiz Show (1994),Drama,Hello World!
301,Picture Bride (Bijo photo) (1994),Drama|Romance,Hello World!
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,Hello World!
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,Hello World!
304,Roommates (1995),Comedy|Drama,Hello World!
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,Hello World!
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,Hello World!
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,Hello World!
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,Hello World!
310,Rent-a-Kid (1995),Comedy,Hello World!
311,Relative Fear (1994),Horror|Thriller,Hello World!
312,Stuart Saves His Family (1995),Comedy,Hello World!
313,"Swan Princess, The (1994)",Animation|Children,Hello World!
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,Hello World!
315,"Specialist, The (1994)",Action|Drama|Thriller,Hello World!
316,Stargate (1994),Action|Adventure|Sci-Fi,Hello World!
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,Hello World!
318,"Shawshank Redemption, The (1994)",Crime|Drama,Hello World!
319,Shallow Grave (1994),Comedy|Drama|Thriller,Hello World!
320,Suture (1993),Film-Noir|Thriller,Hello World!
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,Hello World!
322,Swimming with Sharks (1995),Comedy|Drama,Hello World!
324,"Sum of Us, The (1994)",Comedy|Drama,Hello World!
325,National Lampoon's Senior Trip (1995),Comedy,Hello World!
326,To Live (Huozhe) (1994),Drama,Hello World!
327,Tank Girl (1995),Action|Comedy|Sci-Fi,Hello World!
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,Hello World!
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,Hello World!
330,Tales from the Hood (1995),Action|Crime|Horror,Hello World!
331,Tom & Viv (1994),Drama,Hello World!
332,Village of the Damned (1995),Horror|Sci-Fi,Hello World!
333,Tommy Boy (1995),Comedy,Hello World!
334,Vanya on 42nd Street (1994),Drama,Hello World!
335,Underneath (1995),Mystery|Thriller,Hello World!
336,"Walking Dead, The (1995)",Drama|War,Hello World!
337,What's Eating Gilbert Grape (1993),Drama,Hello World!
338,Virtuosity (1995),Action|Sci-Fi|Thriller,Hello World!
339,While You Were Sleeping (1995),Comedy|Romance,Hello World!
340,"War, The (1994)",Adventure|Drama|War,Hello World!
341,Double Happiness (1994),Drama,Hello World!
342,Muriel's Wedding (1994),Comedy,Hello World!
343,"Baby-Sitters Club, The (1995)",Children,Hello World!
344,Ace Ventura: Pet Detective (1994),Comedy,Hello World!
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,Hello World!
346,Backbeat (1993),Drama|Musical,Hello World!
347,Bitter Moon (1992),Drama|Film-Noir|Romance,Hello World!
348,Bullets Over Broadway (1994),Comedy,Hello World!
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,Hello World!
350,"Client, The (1994)",Drama|Mystery|Thriller,Hello World!
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,Hello World!
352,Crooklyn (1994),Comedy|Drama,Hello World!
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,Hello World!
354,Cobb (1994),Drama,Hello World!
355,"Flintstones, The (1994)",Children|Comedy|Fantasy,Hello World!
356,Forrest Gump (1994),Comedy|Drama|Romance|War,Hello World!
357,Four Weddings and a Funeral (1994),Comedy|Romance,Hello World!
358,Higher Learning (1995),Drama,Hello World!
359,I Like It Like That (1994),Comedy|Drama|Romance,Hello World!
360,I Love Trouble (1994),Action|Comedy,Hello World!
361,It Could Happen to You (1994),Comedy|Drama|Romance,Hello World!
362,"Jungle Book, The (1994)",Adventure|Children|Romance,Hello World!
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,Hello World!
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,Hello World!
365,Little Buddha (1993),Drama,Hello World!
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,Hello World!
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,Hello World!
368,Maverick (1994),Adventure|Comedy|Western,Hello World!
369,Mrs. Parker and the Vicious Circle (1994),Drama,Hello World!
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,Hello World!
371,"Paper, The (1994)",Comedy|Drama,Hello World!
372,Reality Bites (1994),Comedy|Drama|Romance,Hello World!
373,Red Rock West (1992),Thriller,Hello World!
374,Richie Rich (1994),Children|Comedy,Hello World!
376,"River Wild, The (1994)",Action|Thriller,Hello World!
377,Speed (1994),Action|Romance|Thriller,Hello World!
378,Speechless (1994),Comedy|Romance,Hello World!
379,Timecop (1994),Action|Sci-Fi|Thriller,Hello World!
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,Hello World!
381,When a Man Loves a Woman (1994),Drama|Romance,Hello World!
382,Wolf (1994),Drama|Horror|Romance|Thriller,Hello World!
383,Wyatt Earp (1994),Western,Hello World!
384,Bad Company (1995),Action|Crime|Drama,Hello World!
385,"Man of No Importance, A (1994)",Drama,Hello World!
386,S.F.W. (1994),Drama,Hello World!
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,Hello World!
388,Boys Life (1995),Drama,Hello World!
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,Hello World!
391,Jason's Lyric (1994),Crime|Drama,Hello World!
393,Street Fighter (1994),Action|Adventure|Fantasy,Hello World!
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,Hello World!
406,Federal Hill (1994),Drama,Hello World!
407,In the Mouth of Madness (1995),Horror|Thriller,Hello World!
408,8 Seconds (1994),Drama,Hello World!
409,Above the Rim (1994),Crime|Drama,Hello World!
410,Addams Family Values (1993),Children|Comedy|Fantasy,Hello World!
412,"Age of Innocence, The (1993)",Drama,Hello World!
413,Airheads (1994),Comedy,Hello World!
414,"Air Up There, The (1994)",Comedy,Hello World!
415,Another Stakeout (1993),Comedy|Thriller,Hello World!
416,Bad Girls (1994),Western,Hello World!
417,Barcelona (1994),Comedy|Romance,Hello World!
418,Being Human (1993),Drama,Hello World!
419,"Beverly Hillbillies, The (1993)",Comedy,Hello World!
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,Hello World!
421,Black Beauty (1994),Adventure|Children|Drama,Hello World!
422,Blink (1994),Thriller,Hello World!
423,Blown Away (1994),Action|Thriller,Hello World!
424,Blue Chips (1994),Drama,Hello World!
425,Blue Sky (1994),Drama|Romance,Hello World!
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,Hello World!
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,Hello World!
428,"Bronx Tale, A (1993)",Drama,Hello World!
429,Cabin Boy (1994),Comedy,Hello World!
430,Calendar Girl (1993),Comedy|Drama,Hello World!
431,Carlito's Way (1993),Crime|Drama,Hello World!
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,Hello World!
433,Clean Slate (1994),Comedy,Hello World!
434,Cliffhanger (1993),Action|Adventure|Thriller,Hello World!
435,Coneheads (1993),Comedy|Sci-Fi,Hello World!
436,Color of Night (1994),Drama|Thriller,Hello World!
437,Cops and Robbersons (1994),Comedy,Hello World!
438,"Cowboy Way, The (1994)",Action|Comedy|Drama,Hello World!
440,Dave (1993),Comedy|Romance,Hello World!
441,Dazed and Confused (1993),Comedy,Hello World!
442,Demolition Man (1993),Action|Adventure|Sci-Fi,Hello World!
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,Hello World!
445,Fatal Instinct (1993),Comedy,Hello World!
446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,Hello World!
448,Fearless (1993),Drama,Hello World!
449,Fear of a Black Hat (1994),Comedy,Hello World!
450,With Honors (1994),Comedy|Drama,Hello World!
451,Flesh and Bone (1993),Drama|Mystery|Romance,Hello World!
452,Widows' Peak (1994),Drama,Hello World!
453,For Love or Money (1993),Comedy|Romance,Hello World!
454,"Firm, The (1993)",Drama|Thriller,Hello World!
455,Free Willy (1993),Adventure|Children|Drama,Hello World!
456,Fresh (1994),Crime|Drama|Thriller,Hello World!
457,"Fugitive, The (1993)",Thriller,Hello World!
458,Geronimo: An American Legend (1993),Drama|Western,Hello World!
459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller,Hello World!
460,Getting Even with Dad (1994),Comedy,Hello World!
461,Go Fish (1994),Drama|Romance,Hello World!
464,Hard Target (1993),Action|Adventure|Crime|Thriller,Hello World!
466,Hot Shots! Part Deux (1993),Action|Comedy|War,Hello World!
467,Live Nude Girls (1995),Comedy,Hello World!
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance,Hello World!
469,"House of the Spirits, The (1993)",Drama|Romance,Hello World!
470,House Party 3 (1994),Comedy,Hello World!
471,"Hudsucker Proxy, The (1994)",Comedy,Hello World!
472,I'll Do Anything (1994),Comedy|Drama,Hello World!
473,In the Army Now (1994),Comedy|War,Hello World!
474,In the Line of Fire (1993),Action|Thriller,Hello World!
475,In the Name of the Father (1993),Drama,Hello World!
476,"Inkwell, The (1994)",Comedy|Drama,Hello World!
477,What's Love Got to Do with It? (1993),Drama|Musical,Hello World!
478,Jimmy Hollywood (1994),Comedy|Crime|Drama,Hello World!
479,Judgment Night (1993),Action|Crime|Thriller,Hello World!
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,Hello World!
481,Kalifornia (1993),Drama|Thriller,Hello World!
482,Killing Zoe (1994),Crime|Drama|Thriller,Hello World!
484,Lassie (1994),Adventure|Children,Hello World!
485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,Hello World!
486,Life with Mikey (1993),Comedy,Hello World!
487,Lightning Jack (1994),Comedy|Western,Hello World!
488,M. Butterfly (1993),Drama|Romance,Hello World!
489,Made in America (1993),Comedy,Hello World!
490,Malice (1993),Thriller,Hello World!
491,"Man Without a Face, The (1993)",Drama,Hello World!
492,Manhattan Murder Mystery (1993),Comedy|Mystery,Hello World!
493,Menace II Society (1993),Action|Crime|Drama,Hello World!
494,Executive Decision (1996),Action|Adventure|Thriller,Hello World!
496,What Happened Was... (1994),Comedy|Drama|Romance|Thriller,Hello World!
497,Much Ado About Nothing (1993),Comedy|Romance,Hello World!
499,Mr. Wonderful (1993),Comedy|Romance,Hello World!
500,Mrs. Doubtfire (1993),Comedy|Drama,Hello World!
501,Naked (1993),Drama,Hello World!
502,"Next Karate Kid, The (1994)",Action|Children|Romance,Hello World!
504,No Escape (1994),Action|Drama|Sci-Fi,Hello World!
505,North (1994),Comedy,Hello World!
506,Orlando (1992),Drama|Fantasy|Romance,Hello World!
507,"Perfect World, A (1993)",Crime|Drama|Thriller,Hello World!
508,Philadelphia (1993),Drama,Hello World!
509,"Piano, The (1993)",Drama|Romance,Hello World!
510,Poetic Justice (1993),Drama,Hello World!
511,"Program, The (1993)",Action|Drama,Hello World!
512,"Puppet Masters, The (1994)",Horror|Sci-Fi,Hello World!
513,Radioland Murders (1994),Comedy|Mystery|Romance,Hello World!
514,"Ref, The (1994)",Comedy,Hello World!
515,"Remains of the Day, The (1993)",Drama|Romance,Hello World!
516,Renaissance Man (1994),Comedy|Drama,Hello World!
517,Rising Sun (1993),Action|Drama|Mystery,Hello World!
518,"Road to Wellville, The (1994)",Comedy,Hello World!
519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller,Hello World!
520,Robin Hood: Men in Tights (1993),Comedy,Hello World!
521,Romeo Is Bleeding (1993),Crime|Thriller,Hello World!
522,Romper Stomper (1992),Action|Drama,Hello World!
523,Ruby in Paradise (1993),Drama,Hello World!
524,Rudy (1993),Drama,Hello World!
526,"Savage Nights (Nuits fauves, Les) (1992)",Drama,Hello World!
527,Schindler's List (1993),Drama|War,Hello World!
528,"Scout, The (1994)",Comedy|Drama,Hello World!
529,Searching for Bobby Fischer (1993),Drama,Hello World!
531,"Secret Garden, The (1993)",Children|Drama,Hello World!
532,Serial Mom (1994),Comedy|Crime|Horror,Hello World!
533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery,Hello World!
534,Shadowlands (1993),Drama|Romance,Hello World!
535,Short Cuts (1993),Drama,Hello World!
